"Post ID","Page ID","Page name",Title,Description,"Duration (secs)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,"Seconds viewed","Average Seconds viewed",Comments,Likes,Shares,"People reached",Impressions,"Reels plays","60-second video views","3-second video views","Other clicks","Photo views","Unique 60-second video views",Engagements,"Engaged users","Overall negative feedback","3-second viewers","Unique negative feedback from users","Views by top audience (65+)","Views by top audience (55-64)","Views by top audience (45-54)","Views by top audience (35-44)","Views by top audience (25-34)","Views by top audience (18-24)","Views by top audience (13-17)","Views by top audience (65+, M)","Views by top audience (65+, F)","Views by top audience (55-64, M)","Views by top audience (55-64, F)","Views by top audience (45-54, M)","Views by top audience (45-54, F)","Views by top audience (35-44, M)","Views by top audience (35-44, F)","Views by top audience (25-34, M)","Views by top audience (25-34, F)","Views by top audience (18-24, M)","Views by top audience (18-24, F)","Views by top audience (13-17, M)","Views by top audience (13-17, F)","Views by top audience (M)","Views by top audience (F)","Views by country (Saudi Arabia (SA))","Views by country (Bangladesh (BD))","Views by country (India (IN))","Views by country (Pakistan (PK))","Views by country (Nepal (NP))","Views by country (Indonesia (ID))","Views by country (Nigeria (NG))","Views by country (Mexico (MX))","Views by country (Myanmar (MM))","Views by country (Uzbekistan (UZ))","Views by country (Germany (DE))","Views by country (Sierra Leone (SL))","Views by country (Mongolia (MN))","Views by country (Greece (GR))","Views by country (Morocco (MA))","Views by country (Brazil (BR))","Views by country (Colombia (CO))","Views by country (Australia (AU))","Views by country (Italy (IT))","Views by country (Romania (RO))","Views by country (Canada (CA))","Views by country (United Kingdom (GB))","Views by country (Iran (IR))","Views by country (United Arab Emirates (AE))","Views by country (United States (US))","Views by country (Cambodia (KH))","Views by country (Egypt (EG))","Views by country (France (FR))","Views by country (Fiji (FJ))","Views by country (Algeria (DZ))","Views by country (Bhutan (BT))","Views by country (Afghanistan (AF))","Views by country (Qatar (QA))","Views by country (Spain (ES))","Views by country (Portugal (PT))","Views by country (New Zealand (NZ))","Views by country (Mauritius (MU))","Views by country (Malaysia (MY))"
122128258814198697,247903501729335,HU.co,,"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending",263,"03/14/2024 00:03",auto,https://www.facebook.com/hu.4113/posts/pfbid02HNYPPRaxHbQpBspULW2TPVfFZVsWSQ2dXx19VvAxyDWu9aMYhd7f4SAmfhs8iQul,0,0,Video,,,,,Lifetime,1181.5,20.37,0,8,0,58,64,,4,23,4,,4,12,10,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122128311284198697,247903501729335,HU.co,,"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending",125,"03/14/2024 03:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid0F9phrd3AMpgaRfBn6vCjA5yrWfs3VJgucub1HtoMVxXt5i9D3fdo2ULUEAZpeHgsl,0,0,Video,,,,,Lifetime,1860.51,22.97,0,8,0,85,90,,12,38,7,,12,15,12,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122128379282198697,247903501729335,HU.co,,"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending",218,"03/14/2024 05:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid0Rx9EogoYiqJAxidjKioU7mZuBQNUawbTLSWy5J4RkfhzpXjCu69JZax7eng8u2Vfl,0,0,Video,,,,,Lifetime,764.42,16.99,0,4,0,48,54,,2,18,,,2,4,4,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122128399352198697,247903501729335,HU.co,,"KHAIE Coming Episode Promo 
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending",50,"03/14/2024 07:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid0r9Lxa5eW3GaeoMaNLaKynEZGysqJfNY4b36tcEEbGeuM5TokeRddogesgPo9CAil,0,0,Video,,,,,Lifetime,1019.15,10.84,0,6,0,86,94,,0,36,5,,0,11,9,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068188127590585,247903501729335,HU.co,,"Like, Follow & Share.

#islamic #islamdaily #madinah #tawbah  #quranic #DeenDaily #deen #ummah ##quranquotes #quran #islam",34,"03/14/2024 19:03",N/A,https://www.facebook.com/reel/1068188127590585/,0,0,"FB reel",,,,,Lifetime,294.63,9.21,1,5,0,41,45,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258032560698207,247903501729335,HU.co,,"Like, Follow & Share.

#islamic #islamdaily #madinah #tawbah  #quranic #DeenDaily #deen #ummah ##quranquotes #quran #islam",34,"03/14/2024 21:03",N/A,https://www.facebook.com/reel/258032560698207/,0,0,"FB reel",,,,,Lifetime,165.22,7.18,1,4,0,28,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447306326165548,247903501729335,HU.co,,"#reels #reelsviralfb #reelsinstagram #reelsfypシfb #shorts #shortreels #trending #quranquotes",15,"03/14/2024 23:03",N/A,https://www.facebook.com/reel/1447306326165548/,0,0,"FB reel",,,,,Lifetime,965.8,3.71,1,36,1,327,329,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078827880089031,247903501729335,HU.co,,"Like, Follow & Share.

#islamic #islamdaily #madinah #tawbah  #quranic #DeenDaily #deen #ummah ##quranquotes #quran #islam",21,"03/15/2024 00:03",N/A,https://www.facebook.com/reel/1078827880089031/,0,0,"FB reel",,,,,Lifetime,183.79,4.71,1,7,0,47,50,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122128667276198697,247903501729335,HU.co,,"Very Filmy
#humtv #pakistan #dananeer  #BushraAnsari  #pakistanidrama  #pakistanicelebrities 
#humtvdramas #AliSafina  #SalmaHassan",87,"03/15/2024 03:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid02EzYErAzA1xhdQt1HLtZb5ey4ys6D5n7AErw5QVaA2gG78SEeeWKsSFPezPgk4QCNl,0,0,Video,,,,,Lifetime,1067.33,19.77,0,4,0,78,83,,5,22,3,,4,7,7,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122128715666198697,247903501729335,HU.co,,"Very Filmy
#humtv #pakistan #dananeer  #BushraAnsari  #pakistanidrama  #pakistanicelebrities 
#humtvdramas #AliSafina  #SalmaHassan",206,"03/15/2024 07:03",N/A,https://www.facebook.com/hu.4113/posts/pfbid027Pz7BNkD8pqg89sBg1YoHwXayjG1ELLC6rcY6Pzi5TQWAEFQq6KxJvRJKbkFwCSjl,0,0,Video,,,,,Lifetime,949.68,15.83,0,6,8,41,48,,4,31,1,,4,15,7,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
