Post ID	Page ID	Page name	Title	Description	Duration (secs)	Publish time	Caption type	Permalink	Is crosspost	Is share	Post type	Languages	Custom labels	Funded content status	Data comment	Date	Engagements	Comments	Likes	Shares	Impressions	Reels plays	People reached	Ad impressions	Seconds viewed	Average Seconds viewed	3-second video views	Total clicks	Other clicks	Photo views	Article daily scroll depth	60-second video views	3-second viewers	Overall negative feedback	Unique negative feedback from users	Article average time spent	Unique 60-second video views	Engaged users	Ad CPM (USD)	Estimated earnings (USD)	"Views by top audience (13-17, M)"	"Views by top audience (13-17, F)"	"Views by top audience (25-34, M)"	"Views by top audience (25-34, F)"	"Views by top audience (18-24, M)"	"Views by top audience (18-24, F)"	"Views by top audience (65+, M)"	"Views by top audience (65+, F)"	"Views by top audience (55-64, M)"	"Views by top audience (55-64, F)"	"Views by top audience (45-54, M)"	"Views by top audience (45-54, F)"	"Views by top audience (35-44, M)"	"Views by top audience (35-44, F)"	Views by top audience (M)	Views by top audience (F)	Views by top audience (65+)	Views by top audience (55-64)	Views by top audience (45-54)	Views by top audience (35-44)	Views by top audience (25-34)	Views by top audience (18-24)	Views by top audience (13-17)	Views by country (Portugal (PT))	Views by country (United Kingdom (GB))	Views by country (Bangladesh (BD))	Views by country (India (IN))	Views by country (Pakistan (PK))	Views by country (Saudi Arabia (SA))	Views by country (New Zealand (NZ))
1.22129E+17	2.47904E+14	HU.co		"Very Filmy
#humtv #pakistan #dananeer  #BushraAnsari  #pakistanidrama  #pakistanicelebrities 
#humtvdramas #AliSafina  #SalmaHassan"	206	3/15/2024 7:03	N/A	https://www.facebook.com/hu.4113/posts/pfbid03Qtt2Lnf6o5jzpYuVPZ552EsNaD7WTSPuoxDo7VwdVFMGTozHtgGFKYmaDQvBUykl	0	0	Video					Lifetime	8	0	4	4	39		37	0	612.91	13.62	24	1	1		0	3	16	0	0	0	3	5	0	0																														
1.1647E+15	2.47904E+14	HU.co		"Like, Follow & Share.
#reels #reelsviralfb #reelsinstagram #reelsfyp?fb #shorts #shortreels #trending #quranquotes"	34	3/16/2024 23:03	N/A	https://www.facebook.com/reel/1164703241556142/	0	0	FB reel					Lifetime	5	0	3	2	33	45	33	0	422.97	12.82																																												
3.9802E+14	2.47904E+14	HU.co		#reels #reelsviralfb #reelsinstagram #reelsfyp?fb #shorts #shortreels #trending #quranquotes	37	3/17/2024 4:03	N/A	https://www.facebook.com/reel/398019879645285/	0	0	FB reel					Lifetime	6	0	4	2	41	36	41	0	254.73	8.22																																												
1.08651E+15	2.47904E+14	HU.co		#reels #reelsviralfb #reelsinstagram #reelsfyp?fb #shorts #shortreels #trending #quranquotes	15	3/17/2024 7:03	N/A	https://www.facebook.com/reel/1086506922681546/	0	0	FB reel					Lifetime	7	0	6	1	55	49	55	0	230.5	5.62																																												
1.2213E+17	2.47904E+14	HU.co		"ISHQ MURSHID
#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #durefishansaleem #excitement  #bilalabbas  #humtvdramas #comingsoon #psu #trending2024
#reelsvideo? #reelsviralfb #trendingvideos #trendingposts"	273	3/17/2024 23:03	auto	https://www.facebook.com/hu.4113/posts/pfbid024d7gGCYUmeFQ7sPCgk3aHX8dRtCTU2pA2SfinMW4dFQFDYcYa6oPfqXjmu8cPnrul	0	0	Video					Lifetime	1	0	1	0	6		6	0	280.82	70.21	2	3	3		0	1	2	0	0	0	1	1	0	0																														
1.22119E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	241	2/19/2024 22:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0EpGgrTphTzZFWjvpDtsbZjh4h11qkdqazZ4BzaEUF5TTjcZUbfb4C7JcvbaMmjjnl	0	0	Video					Lifetime	8	0	8	0	70		60	0	2075.88	16.88	60	3	3		0	6	53	0	0	0	5	10	0	0																														
1.22119E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	284	2/20/2024 2:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0FzXaYNAwYAQh1LxedmQpWEeoqtUvnbxMFQeQQ4oi3eikmQxqRK5chqg9va35hp8pl	0	0	Video					Lifetime	6	0	6	0	76		66	0	522.26	6.78	26	1	1		0	2	24	0	0	0	2	6	0	0																														
1.22119E+17	2.47904E+14	HU.co		#ishqmurshid #humtv #bilalabbaskhan #moomalentertainment #farooqrind #mdproductions #durefishansaleem #abdulkhaliqkhan #excitement #masterpaints #bilalabbas #yumnazaidi #wahajali #ayezakhan #humpr #humtvdramas #comingsoon #hibabukhari #sabaqamar #haniaamir #ferozekhan #muneebbutt #minalkhan #ahadrazamir #sajalaly #psu #farhansaeed #terebin #zaranoor #haroonkadwani	95	2/20/2024 9:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid02jADABEb6d22QQCaha9rWhGzc9gB6ovE7gZAM7hdz9bJMfisHVEUqTsCw5CM3PmJxl	0	0	Video					Lifetime	6	0	5	1	161		151	0	2093.93	14.85	71	5	5		0	15	64	0	0	0	12	11	0	0																														
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	218	2/20/2024 23:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0CZsfnUfnzYwQKcU5RNkSfyW6CrAgYZvCpLZ9UNxbZiUE91NEhuqUomuvb8MH5Pbxl	0	0	Video					Lifetime	6	0	6	0	93		82	0	1998.41	16.79	60	1	1		0	8	52	0	0	0	7	7	0	0																														
1.2212E+17	2.47904E+14	HU.co		"KHAIE
#khaie #faysalquraishi #hinabayat #uzmahassan #osamatahir #sabafaisal #noorulhassan #shujaasad #lailawasti #saqlainabbas #geotv #syedwajahathussain #asadqureshi #abdullahkadwani #thskyentertainment #javedjamal #shamylkhan #khalidbutt #geoentertainment #durefishansaleem #harpalgeo #nabeelzuberi #mahnoor #hassannoman #mahenurhaider #durefishan #fuchsiamagazine #fuchsiaepaper #khudaaurmohabbat #trending"	213	2/21/2024 2:02	N/A	https://www.facebook.com/hu.4113/posts/pfbid0311sLmuDERPzikRYp8qzEyzAUPvYLM73yB7GupAgA5imKWczB9xG1fKQNC3DrCiQBl	0	0	Video					Lifetime	5	0	5	0	77		65	0	520.7	7.55	28	5	5		0	1	22	0	0	0	1	5	0	0																														
